Variant	Marker
rs10006433	mh04CP-003
rs10015011	mh04USC-4pB
rs10028045	mh04USC-4qC
rs10062221	mh05USC-5qD
rs10093040	mh08USC-8qC
rs10097211	mh08USC-8pA
rs1010872	mh05KK-122
rs10125791	mh09KK-153
rs10125791	mh09KKCS-153
rs10129345	mh14PK-72639
rs10134526	mh14KK-101
rs1014897	mh20KKCS-306
rs1014898	mh20KKCS-306
rs10152453	mh15KK-104
rs10163264	mh16KKCS-259
rs10163267	mh16KKCS-259
rs10163270	mh16KKCS-259
rs10171097	mh02USC-2pC
rs10172255	mh02LV-05
rs10179825	mh02USC-2qD
rs10179987	mh02USC-2qD
rs10191936	mh02KKCS-029
rs10195588	mh02LV-05
rs10226425	mh07KK-030
rs10246622	mh07KK-031
rs10257650	mh07USC-7qA
rs10283072	mh08USC-8qB
rs1035113	mh16USC-16pA
rs10404533	mh19USC-19qB
rs10404915	mh19USC-19qB
rs10408037	mh19KK-301
rs10408594	mh19KK-301
rs10415306	mh19KKCS-300
rs10415743	mh19KKCS-300
rs10417429	mh19CP-007
rs10417450	mh19CP-007
rs10419866	mh19USC-19qA
rs10420798	mh19USC-19qA
rs10428542	mh05KKCS-169
rs10428597	mh05KKCS-169
rs10455681	mh06KK-031
rs10455682	mh06KK-031
rs1046953	mh03KK-216
rs10491291	mh05USC-5qC
rs10495515	mh02KKCS-022
rs10495516	mh02KKCS-022
rs10497052	mh02KK-005
rs10500616	mh11AT-21
rs10500616	mh11KK-036
rs10503214	mh08KK-039
rs10503214	mh08KKCS-039
rs10505669	mh08USC-8qC
rs10506052	mh12KK-202
rs10506052	mh12KKCS-202
rs10506053	mh12AT-24
rs10506053	mh12KK-202
rs10506053	mh12KKCS-202
rs1052553	mh17KK-105
rs1055919	mh19KK-056
rs1058930	mh10KK-084
rs1059504	mh17KK-052
rs1061535	mh06KKCS-090
rs1061536	mh06KKCS-090
rs1061537	mh06KKCS-090
rs1063902	mh15AT-32
rs1063902	mh15KK-066
rs1063902	mh15KKCS-066
rs10685889	mh22PK-104638
rs10685890	mh22PK-104638
rs10734227	mh11USC-11pA
rs10752059	mh10LV-03
rs10753020	mh01USC-1qB
rs1076115	mh22KKCS-328
rs10764460	mh10CP-003
rs1077383	mh15KKCS-066
rs10775210	mh15USC-15qA
rs10776839	mh09AT-18
rs10776839	mh09KK-035
rs10780576	mh09AT-16
rs10780576	mh09KK-152
rs10792738	mh11USC-11qA
rs10795793	mh10USC-10pA
rs1079597	mh11KK-090
rs1079598	mh11KK-090
rs10796164	mh10KK-169
rs10796165	mh10KK-169
rs10796166	mh10KK-169
rs1079727	mh11KK-103
rs10803282	mh01CP-008
rs10803283	mh01CP-008
rs10804627	mh03USC-3qB
rs10806089	mh06USC-6qA
rs10810635	mh09KK-020
rs10815071	mh09KKCS-145
rs10815466	mh09AT-15
rs10815466	mh09KK-033
rs10819199	mh09LV-02
rs10819200	mh09LV-02
rs10820076	mh09USC-9qB
rs10828819	mh10USC-10pB
rs10832301	mh11USC-11pA
rs10851886	mh15USC-15qA
rs10854214	mh20KK-059
rs10854215	mh20KK-059
rs10859942	mh12USC-12qC
rs10867949	mh09KK-152
rs10878750	mh12USC-12qB
rs10884095	mh10KK-087
rs10891537	mh11KK-039
rs10898849	mh11KK-037
rs10900038	mh10USC-10qA
rs10904788	mh10LV-03
rs10906617	mh10KK-169
rs10906716	mh10CP-005
rs10918374	mh01AT-03
rs10927447	mh01CP-008
rs10930308	mh02USC-2qC
rs10933619	mh02USC-2qE
rs10938693	mh04USC-4pA
rs10949381	mh06KK-030
rs10952319	mh07USC-7qC
rs10962598	mh09KK-020
rs10962599	mh09KK-020
rs10987426	mh09LV-02
rs10993851	mh09USC-9qC
rs11025352	mh11KKCS-183
rs11049080	mh12KKCS-201
rs11049081	mh12KKCS-201
rs11062051	mh12CP-008
rs11062734	mh12KK-043
rs11068953	mh12AT-25
rs11068953	mh12KK-046
rs11068953	mh12KKCS-046
rs1107162	mh11KK-103
rs11084040	mh19KK-301
rs1111062	mh10KKCS-167
rs1111063	mh10KKCS-167
rs11111391	mh12KK-093
rs11123719	mh02KK-003
rs11129981	mh03USC-3pB
rs11129982	mh03USC-3pB
rs11129983	mh03USC-3pB
